,Abbr,Fullform
1810,DTB,Don't Text Back
1811,DTC,Down To Cuddle
1812,DTD,Drunk Till Dawn
1813,DTE,Down To Earth
1814,DTH,Down To Hang
1815,DTL,Does The Look
1816,DTM,Doing Too Much
1817,DTMS,Does That Make Sense
1818,DTMWTD,Don't Tell Me What To Do
1819,DTP,Disturbing The Peace
1820,DTR,Define The Relationship
1821,DTRT,Do The Right Thing
1822,DTS,Down The Shore
1823,DTT,Don't Touch That
1824,DTTC,Don't Text The Cell
1825,DTTM,Don't Talk To Me
1826,DTYT,Don't Take Your Time
1827,DU JOUR,Of the day
1828,DUB,Twenty dollars
1829,DUB DUB DUB,WWW
1830,DUB SACK,A $20 bag of marijuana
1831,DUBS,Twenty inch wheels
1832,DUBSTEP,Music genre
1833,DUCES,Goodbye
1834,DUCWIC,Do You See What I See
1835,DUCY,Do you see why
1836,DUDE,A name for anyone
1837,DUDETTE,Female dude
1838,DUDS,Casual clothes
1839,DUECES,DEUCES
1840,DUFUS,DOOFUS
1841,DUH,Of course
1842,DUI,Driving Under the Influence
1843,DULM,Do You Love Me
1844,DUM,Dumb
1845,DUN,Son
1846,DUNNO,Don't Know
1847,DUNZO,Done
1848,DUO,Do Unto Others
1849,DUPA,Ass
1850,DUPE,Duplicate
1851,DUR,Duh
1852,DURS,Damn You Are Sexy
1853,DUS,Does
1854,DUSS,Run away
1855,DUST,Angel dust
1856,DUSTY,Ugly
1857,DUTCH,Joint
1858,DUTTY,Dirty
1859,DVD,Digital Versatile Disc
1860,DVDR,DVD Recordable
1861,DVDRIP,Video copied from a DVD
1862,DVI,Digital Visual Interface
1863,DVR,Digital Video Recorder
1864,DVT,Deep Vein Thrombosis
1865,DW,Don't Worry
1866,DWA,Driving While Asian
1867,DWAG,Misspelling of DAWG
1868,DWAI,Don't Worry About It
1869,DWB,Driving While Black
1870,DWBH,Don't Worry Be Happy
1871,DWBI,Don't Worry 'Bout It
1872,DWEEB,Dork
1873,DWEET,Do it
1874,DWF,Divorced White Female
1875,DWI,Deal with it
1876,DWISNWID,Do What I Say Not What I Do.
1877,DWL,Dying With Laughter
1878,DWM,Divorced White Male
1879,DWMT,Don't Waste My Time
1880,DWP,Drunk While Posting
1881,DWT,Driving While Texting
1882,DWTH,Don't Work Too Hard
1883,DWTS,Dancing With The Stars
1884,DWTTAI,Don't Want To Talk About It
1885,DWU,Don't Wait Up
1886,DX,D-generation X
1887,DXC,Deathcore 
1888,DY,DWAI
1889,DYAC,Damn You Auto Correct
1890,DYD,Don't You Dare
1891,DYEL,Do You Even Lift
1892,DYHWIH,Do You Hear What I Hear
1893,DYJ,Do Your Job
1894,DYJHIW,Don't You Just Hate It When...
1895,DYK,Did You Know
1896,DYKT,Did You Know That
1897,DYKWIM,Do You Know What I Mean
1898,DYL,Do You Like...
1899,DYLM,Do You Love
1900,DYM,Do You Mind
1901,DYOR,Do Your Own Research
1902,DYS,Do You See
1903,DYT,Don't You Think
1904,DZ,Drop Zone
1905,E,Ecstasy
1906,E>,<3
1907,E&OE,Errors and omissions excluded
1908,E-DATING,Online dating
1909,E1,Everyone
1910,E2EG,Ear To Ear Grin
1911,EA,Electronic Arts
1912,EAS,End of Active Service
1913,EB,Eyeball
1914,EBCAK,Error Between Chair And Keyboard
1915,EBD,End of Business Day
1916,EBM,Electronic Body Music
1917,EBONY,Dark skin tone
1918,EBT,Electronic Benefits Transfer
1919,ECG,Electrocardiogram
1920,ECO,Ecological
1921,ECT,etc
1922,ECU,Electronic Control Unit
1923,ECW,Extreme Championship Wrestling
1924,EDC,Every Day Carry
1925,EDD,Estimated Delivery Date
1926,EDDRESS,Email address
1927,EDGY,Cutting edge
1928,EDJ,Energy Drink Junkie
1929,EDM,Electronic Dance Music
1930,EDT,Eastern Daylight Time
1931,EEC,European Economic Community
1932,EEE,excitement
1933,EEG,Extremely Evil Grin
1934,EEK,surprise
1935,EEPROM,Erasable EPROM
1936,EFA,Edited For Accuracy
1937,EFG,Epic Fail Guy
1938,EFL,English as a Foreign Language
1939,EFT,Electronic Funds Transfer
1940,EFTPOS,Electronic Funds Transfer at Point Of Sale
1941,EG,For example
1942,EGL,Elegant Gothic Lolita
1943,EH,What
1944,EI,Eat It
1945,EIE,Enough Is Enough
1946,EL,Chicago's elevated rail system
1947,ELBOW,A pound of marijuana
1948,ELE,Everybody Love Everybody
1949,ELF,Every Lady's Fantasy
1950,ELH,Every Little Helps
1951,ELI5,Explain Like I'm 5
1952,ELITE,Skillful
1953,ELLO,Hello
1954,ELNS,Eller noe s
1955,ELO,Electric Light Orchestra 
1956,ELOL,Evil Laugh Out Loud
1957,ELP,Emerson Lake and Palmer 
1958,EM,E-Mail
1959,EMA,E-mail Address
1960,EMAW,Every Man a Wildcat
1961,EMCEE,MC Master of Ceremonies
1962,EMO,Emotional
1963,EMOJI,Tiny Pictures Used In Texts To Communicate A Feeling Or A Concept
1964,EMOTICON,Sequence of characters representing an emotion eg :)
1965,EMP,Electromagnetic Pulse
1966,EMS,Emergency Medical Service
1967,EMT,Emergency Medical Technician
1968,ENC,Enclosure
1969,ENDZ,Area where you live
1970,ENE,Northerner
1971,ENIAC,Electronic Numerical Integrator and Computer
1972,ENNIT,agreement
1973,ENO,Awesome
1974,ENT,Isn't
1975,EOB,End Of Business
1976,EOC,End Of Conversion
1977,EOD,End Of Discussion
1978,EOE,Equal Opportunity Employer
1979,EOF,End Of File
1980,EOG,End Of Grade
1981,EOL,End Of Lecture
1982,EOM,End Of Message
1983,EOR,End Of Rant
1984,EOS,End Of Show
1985,EOT,End Of Thread 
1986,EOTD,End Of The Day
1987,EOTW,End Of The World
1988,EOTWAWKI,End Of The World As We Know It
1989,EOW,End Of Watch
1990,EP,Extended Play
1991,EPIC,Extremely awesome
1992,EPIC FAIL,Total failure
1993,EPIN,Epic Win
1994,EPL,English Premier League
1995,EPOS,Electronic Point Of Sale
1996,EPROM,Electronically Programmable ROM
1997,EQ,EverQuest 
1998,EQE,Easy Quick Efficient
1999,ER,Emergency Room
2000,ERB,Herb
2001,ERK,Irk
2002,ERM,Awkward conversation filler
2003,ERO,Erotic
2004,ERP,Erotic Role-Play
2005,ESA,European Space Agency
2006,ESB,Empire Stikes Back
2007,ESC,Escape key
2008,ESD,Electro-Static Discharge
2009,ESE,Friend
2010,ESH,Donkey
2011,ESKI,Type of urban music
2012,ESL,English as Second Language
2013,ESOL,English for Speakers of Other Languages
2014,ESP,Extra Sensory Perception
2015,ESPN,Entertainment and Sports Programming Network
2016,ESQ,Esquire
2017,ESRB,Entertainment Software Rating Board
2018,EST,Eastern Standard Time
2019,ESTD,Easier Said Than Done
2020,ET,Extra Terrestrial
2021,ETA,Estimated Time of Arrival
2022,ETC,Et Cetera
2023,ETD,Estimated Time of Departure
2024,ETF,Escape The Fate 
2025,ETHERNET,LAN
2026,ETID,EveryTime I Die 
2027,ETW,Enjoy The Weekend
2028,EU,European Union
2029,EUA,End User Agreement
2030,EUC,Excellent Used Condition
2031,EULA,End User License Agreement
2032,EV,Expected Value
2033,EVA,Ever
2034,EVL,Evil Laugh
2035,EVS,Whatever
2036,EVT,Ei Voi Tiet
2037,EVVK,Couldn't Care Less
2038,EW,Exclamation of disgust
2039,EWBA,Everything Will Be Alright
2040,EWE,Epilogue What Epilogue
2041,EWW,disgust
2042,EX,Former
2043,EXE,Windows program file
2044,EXP,Experience points in games
2045,EXPO,Exposition
2046,EXT,Extension
2047,EXTRA,Over the top
2048,EY,Hey
2049,EYEBALL,Look at
2050,EYO,Hey you
2051,EZ,Easy
2052,EZPZ,Easy peasy
2053,E_E,Tired
2054,F1,Formula One
2055,F2F,Face To Face
2056,F2P,Free To Play
2057,F2T,Free To Talk
2058,F5,Refresh
2059,F8,Fate
2060,F9,Fine
2061,F@,Fat
2062,FAA,Federal Aviation Administration
2063,FAAB,Female-Assigned At Birth
2064,FAAK,Falling Asleep At Keyboard
2065,FAB,Fabulous
2066,FABU,Fabulous
2067,FACE PALM,Slap forehead with the palm of your hand
2068,FADE,Kill
2069,FADED,High
2070,FAE,From
2071,FAFWOA,For A Friend Without Access
2072,FAG,Cigarette
2073,FAI,Forget About It
2074,FAIK,For All I Know
2075,FAIL,Suck
2076,FAM,Family
2077,FAMALAM,Family
2078,FAMBO,Family
2079,FAMO,Friend
2080,FAMS,Family
2081,FANFIC,Fanfiction
2082,FANNYING,Wasting time
2083,FANTABULOUS,Fantastic and fabulous
2084,FAO,For Attention Of
2085,FAQ,Frequently Asked Question
2086,FASHO,For sure
2087,FAT,File Allocation Table
2088,FAT32,32 bit File Allocation Table
2089,FAUX PAS,Social blunder
2090,FAV,Favorite
2091,FAVE,Favorite
2092,FBC,FaceBook Chat
2093,FBF,Facebook Friend
2094,FBG,Fat Bottomed Girl
2095,FBI,Federal Bureau of Investigation
2096,FBM,Fine By Me
2097,FBO,Facebook Official
2098,FBTW,Fine Be That Way
2099,FBW,Fly by wire
2100,FC,Fingers Crossed
2101,FCFS,First Come First Served
2102,FCOL,For Crying Out Loud
2103,FCS,For Christ's Sake
2104,FDA,Food and Drug Administration
2105,FDR,Franklin Delano Roosevelt
2106,FE,Fair Enough
2107,FEAE,For Ever And Ever
2108,FEAT,Featuring
2109,FEDEX,Federal Express
2110,FEDS,FBI agents
2111,FEDZ,Police
2112,FEE,Female
2113,FEELS,Feelings
2114,FEEN,Man
2115,FEENIN,An Intense Craving Or Yearning
2116,FEENING,Craving
2117,FEH,dismissal
2118,FELLA,Man
2119,FELLAS,Close friends
2120,FELLER,Fellow
2121,FER,For
2122,FESS,Confess
2123,FETCH,Cool
2124,FF,Final Fantasy
2125,FF5,Family Force 5 
2126,FFA,Free For All
2127,FFFA,Fit From Far Away
2128,FFI,For Further Information
2129,FFL,Falling From LOLing
2130,FFN,Farewell For Now
2131,FFR,Flash Flash Revolution
2132,FFTL,From First To Last 
2133,FFWF,Fight Fire With Fire
2134,FFX,Final Fantasy 10 
2135,FG,Fat Girl
2136,FGJ,For Great Justice
2137,FGS,For God's Sake
2138,FHE,First Hand Experience
2139,FHM,For Him Magazine
2140,FHO,Friends Hanging Out
2141,FHS,For Heaven's Sake
2142,FI,Forget It
2143,FIC,Fanfiction
2144,FICCL,Frankly I Couldn't Care Less
2145,FIDDY,Fifty
2146,FIF,Fifth Amendment
2147,FIFA,Federation International de Football Association
2148,FIFO,First In First Out
2149,FIFY,Fixed It For You
2150,FIG JAM,F*** I'm Good Just Ask Me
2151,FIL,Father-in-law
2152,FILO,First In Last out
2153,FIN,Finished
2154,FINA,About to do
2155,FINK,Snitch
2156,FINNA,Going To
2157,FINO,Failure Is Not an Option
2158,FIO,Figure It Out
2159,FIRM,Gang of soccer hooligans
2160,FIRME,Cool
2161,FISH,First In Still Here
2162,FIT,Good lokking
2163,FITB,Fill In The Blanks
2164,FITE,Fight
2165,FITTIN TO,About to
2166,FITY,Fifty
2167,FIVE O,Police
2168,FIX,A dose of drugs
2169,FIXIN TO,About to
2170,FIYA,Fire
2171,FIZZLE,Fool
2172,FJ,Foot Job
2173,FKA,Formerly Known As
2174,FL,Fake Laugh
2175,FLA,Florida
2176,FLAFF,Foot Loose And Fancy Free
2177,FLAG,Bandana
2178,FLAGGED,Banned
2179,FLAGGED,Banned
2180,FLAKE,Unreliable person
2181,FLAKE OUT,Cancel at the last minute
2182,FLAKY,Unreliable
2183,FLAME,Insult someone over the internet
2184,FLBP,Future Lower Back Problems
2185,FLEX,Show off
2186,FLIR,Forward Looking Infra Red
2187,FLK,Funny Looking Kid
2188,FLOG,Sell
2189,FLOSS,Show off
2190,FLOSSING,Showing off
2191,FLOTUS,First Lady Of The United States
2192,FLS,Flu-Like Symptoms
2193,FLUFF,Humorous
2194,FLURGE,Urge To Be Flaccid
2195,FLW,Famous Last Words
2196,FLY,Zipper
2197,FLYFF,Fly For Fun
2198,FM,Freqeuncy modulation
2199,FMA,Full Metal Alchemist
2200,FMB,F***-Me Boots
2201,FMCG,Fast Moving Consumer Goods
2202,FMDIDGAD,Frankly My Dear  I Don't Give A Damn
2203,FMH,For Him Magazine
2204,FMI,For More Information
2205,FMJ,Full Metal Jacket
2206,FMLA,Family and Medical Leave of Absence
2207,FMO,For Members Only
2208,FMOT,Follow Me On Twitter
2209,FMTKFYTFO,For Me To Know For You To Find Out
2210,FMV,Full Motion Video
2211,FNA,For Necessary Action
2212,FNAR,For No Apparent Reason
2213,FNB,Football And Beer
2214,FNE,Free And Easy
2215,FNO,From Now On
2216,FNX,Thanks
2217,FO SHO,For Sure
2218,FO'SHIZZLE,For Sure
2219,FOA,First Of All
2220,FOAF,Friend Of A Friend
2221,FOB,Fresh Off the Boat
2222,FOBR,Fall Out Boy Rock
2223,FOC,Free Of Charge
2224,FOCL,Falling Off Chair Laughing
2225,FOE,Family Over Everything
2226,FOF,Full of Fail
2227,FOFL,Falling On Floor Laughing
2228,FOFO,Fourty Four caliber gun
2229,FOI,Freedom Of Information
2230,FOIA,Freedom of Information Act
2231,FOLDED,Drunk
2232,FOM,Far Out Man
2233,FOMCL,Falling Off My Chair Laughing
2234,FOMO,Fear Of Missing Out
2235,FOMS,Fear Of Missing Something
2236,FON,Freak Of Nature
2237,FOO,Fool
2238,FOOPA,Fat in belly area
2239,FOOTY,Football
2240,FOPS,Fake cops 
2241,FORTE,Area of expertise
2242,FOSHO,For Sure
2243,FOSS,Free and Open Source Software
2244,FOT,Fat but HOT
2245,FOTB,Fresh Off The Boat
2246,FOTC,Flight of the Conchords
2247,FOTD,Friend Of The Day
2248,FOTM,Flavor Of The Month
2249,FOTR,Fellowship of the Ring
2250,FOUO,For Official Use Only
2251,FOV,Field Of View
2252,FOX,Sexy
2253,FP,Fair Play
2254,FPS,First-Person Shooter
2255,FQDN,Fully Qualified Domain Name
2256,FR,For Real
2257,FRAG,Kill
2258,FRAK,Swear word from Battlestar Galactica
2259,FRAP,Frappuccino
2260,FRAT,Fraternity
2261,FREEBIE,Item or service one gets for free
2262,FREEBSD,Free Berkeley Software Distribution 
2263,FRESH,Very good
2264,FRESHIE,Imigrant
2265,FRFR,FR FR
2266,FRIED,High on drugs
2267,FRILL,For Real
2268,FRL,For Real
2269,FRO,Afro hairstyle
2270,FROG,Offensive word for a French person
2271,FRONT,Pretend
2272,FRONTING,Misrepresenting oneself
2273,FROOB,Free Noob. Non-paying player
2274,FSAS,Famous Stars and Straps
2275,FSB,Front Side Bus
2276,FSBO,For Sale By Owner
2277,FSCK,File System Consistency Check
2278,FSE,Funniest Sh** Ever
2279,FSF,Free Software Foundation
2280,FSHO,For Sure
2281,FSM,Female Seeking Male
2282,FSOT,For Sale Or Trade
2283,FSR,For Some Reason
2284,FSU,Friends Stand United
2285,FSVO,For Some Value Of ...
2286,FTA,From The Article
2287,FTAO,For the Attention Of
2288,FTASB,Faster Than A Speeding Bullet
2289,FTBOMH,From The Bottom Of My Heart
2290,FTC,Favorite
2291,FTD,Fresh To Death
2292,FTF,First To Find
2293,FTFT,For The First Time
2294,FTFY,Fixed That For You
2295,FTH,For The Horde
2296,FTJ,Fuel The Jet
2297,FTK,For The Kids
2298,FTL,For The Loss
2299,FTLOG,For The Love Of God
2300,FTM,Female To Male
2301,FTP,File Transfer Protocol
2302,FTR,For The Record
2303,FTSE,Financial Times and the London Stock Exchang
2304,FTSK,Forever The Sickest Kids 
2305,FTTB,For The Time Being
2306,FTUW,For The Ultimate Win
2307,FTV,For The Victory
2308,FUBAR,Fouled Up Beyond All Recognition
2309,FUBB,Fouled Up Beyond Belief
2310,FUBU,Fouled Up Beyond Use
2311,FUD,Fear Uncertainty and Doubt
2312,FUIC,Farmers Union Iced Coffee
2313,FULL MONTY,Whole way
2314,FUMA,Fake Puma shoes
2315,FUTAB,Feet Up Take A Break
2316,FUTCH,FEMME + Butch
2317,FUZZ,Police
2318,FW,Forward
2319,FWD,Foward
2320,FWIW,For What It's Worth
2321,FWP,Friend With Privileges
2322,FWT,Flying With Turban
2323,FWTD,Fate Worse Than Death
2324,FWU,F****** With You
2325,FX,Effects
2326,FYA,For Your Amusement
2327,FYC,For Your Convenience
2328,FYE,For Your Entertainment
2329,FYEO,For Your Eyes Only
2330,FYI,For Your Information
2331,FYK,For Your Knowledge
2332,FYM,Free Your Mind
2333,FYN,Fine
2334,FYP,Fixed Your Post
2335,FYR,For Your Review
2336,FYT,For Your Time
2337,G,Grin
2338,G O A T,Greatest Of All Time
2339,GOAT,Greatest Of All Time
2340,G'DAY,Good Day hello
2341,G1,Good One
2342,G2B,Go To Bed
2343,G2E,Got To Eat
2344,G2F,Got To Fly
2345,G2G,Gotta go
2346,G2G2B,Got To Go To Bed
2347,G2H,Go To Hell
2348,G2K,Good To Know
2349,G2R,Got To Run
2350,G2S,Go To Sleep
2351,G3G,One better than G2G
2352,G4U,Good For You
2353,G8,Great
2354,G9,Good Night
2355,GA,Go Ahead
2356,GAC,Guilty As Charged
2357,GAFF,House
2358,GAFIA,Get Away From It All
2359,GAFM,Get Away From Me
2360,GAG,About to throw up
2361,GAGA,Crazy
2362,GAH,frustration
2363,GAJ,Get A Job
2364,GAL,Girl
2365,GAL PAL,Man who hangs around with girls
2366,GALDEM,Group of girls
2367,GAMER,Person who plays video games
2368,GAMMD,Go Ahead Make My Day
2369,GAMS,Female legs
2370,GANGNAM,Relating to wealth and class
2371,GANJ,Ganja
2372,GANJA,Marijuana
2373,GANK,Steal
2374,GARMS,Clothes
2375,GAS,Flatulence
2376,GASSED,Have a high opinion of yourself
2377,GASSING,Talking
2378,GAT,Gun
2379,GAWD,God
2380,GAWJUS,Gorgeous
2381,GAWJUSS,Gorgeous
2382,GB,Great Britain
2383,GBA,God Bless America
2384,GBFN,Goodbye for Now
2385,GBH,Grievous Bodily Harm
2386,GBML,Good Bye My Love
2387,GBNF,Gone But Not Forgotten
2388,GBP,Great British Pounds 
2389,GBTM,Get Back To Me
2390,GBTW,Get Back To Work
2391,GBU,God Bless You
2392,GBWY,God Be With You
2393,GBY,God Bless You
2394,GC,Good Contition
2395,GCF,Good Clean Fun
2396,GCMG,God Calls Me God
2397,GCSE,General Certificate of Secondary Education 
2398,GCWOK,Gay Couple Without Kids
2399,GD,Gangsta Disciple
2400,GDAY,Hi
2401,GDGD,Good Good
2402,GDI,God Damn It
2403,GDP,Gross Domestic Product
2404,GE,Good Evening
2405,GED,General Educational Development
2406,GEEZ,Jesus
2407,GEEZER,A guy
2408,GEG,Interrupt a conversation
2409,GEN,Information
2410,GENIOUS,genius
2411,GEOCACHE,Scavenger hunt destination point
2412,GET DOWN,Party
2413,GET LAID,To Have Sexual Intercourse
2414,GETCHA,Get You
2415,GETTO,Ghetto
2416,GEWD,Good
2417,GF,Girlfriend
2418,GFA,Grenade Free America
2419,GFAK,Go Fly A Kite
2420,GFC,Global Financial Crisis
2421,GFETE,Grinning From Ear To Ear
2422,GFF,Grenade Free Foundation
2423,GFI,Go For It
2424,GFN,Gone For Now
2425,GFP,Good For Pics
2426,GFTW,Go For The Win
2427,GFU,Good For You
2428,GFWL,Games For Windows Live
2429,GFX,Graphics
2430,GFY,Good For You
2431,GG,Good Game
2432,GGA,Good Game All
2433,GGBB,Good Game Bye Bye
2434,GGG,Good Giving and Game
2435,GGL,Giggle
2436,GGN,Gotta Go Now
2437,GGNORE,Good Game No Rematch
2438,GGOH,Gotta Get Outta Here
2439,GGS,Good Games
2440,GGW,Girls Gone Wild
2441,GGWP,Good Game Well Played
2442,GH,Guitar Hero
2443,GHB,Gamma Hydroxybutyrate
2444,GHD,Good Hair Day
2445,GHM,God Help Me
2446,GHOST,Leaving
2447,GHZ,Gigahertz
2448,GI,Government Issue
2449,GIEF,Give
2450,GIF,Graphics Interchange Format - Picture Format
2451,GIG,Live performance
2452,GIGO,Garbage In Garbage Out
2453,GIMME,Give me
2454,GIMP,Uncool
2455,GINGE,Person with red hair
2456,GINGER,Person with red hair
2457,GINGRICH,Hypocrite
2458,GINNEL,Alley
2459,GIS,Google Image Search
2460,GIT,Idiot
2461,GITMO,Guantanamo Bay
2462,GIWIST,Gee I Wish I'd Said That.
2463,GIY,Google It Yourself
2464,GIYF,Google Is Your Friend
2465,GJ,Good Job
2466,GJOAC,Go Jump Off A Cliff
2467,GJWHF,Girls Just Wanna Have Fun
2468,GK,Good Kid
2469,GKY,Go Kill Yourself
2470,GL,Good Luck
2471,GL HF,Good Luck Have Fun
2472,GLA,Good Luck All
2473,GLAG,Giggling Like A Girl
2474,GLAMPING,Glamorous
2475,GLD,Good Life Decision
2476,GLEAK,Spit
2477,GLEEK,A fan of the TV show Glee
2478,GLF,Group Looking For
2479,GLHF,Good luck have fun.
2480,GLIRL,Good Luck In Real Life
2481,GLITCH,Error
2482,GLOCK,Semi-automatic pistol
2483,GLOMP,Hug very hard
2484,GLOTR,Good Luck On The Rebuild
2485,GLTA,Good Luck to All
2486,GLTY,Good Luck To You
2487,GLU,Guys
2488,GLUCK,Good Luck
2489,GLWS,Good Luck With Sale
2490,GLWT,Good Luck With That
2491,GM,General Motors
2492,GMA,Good Morning America
2493,GMAB,Give Me A Break
2494,GMAIL,Google web email service
2495,GMBH,Gesellschaft mit Beschr
2496,GMC,General Motors Corporation
2497,GMH,Gives Me Hope
2498,GMO,Genetically Modified Organism
2499,GMOD,Garry's Mod
2500,GMT,Greenwich Mean Time
2501,GMTA,Great Minds Think Alike
2502,GMV,Got My Vote
2503,GMY,Good Man Yourself
2504,GN,Good Night
2505,GNARLY,Extreme
2506,GND,Girl Next Door
2507,GNE,Good Night and Everything
2508,GNFB,Good Night Facebook
2509,GNITE,Good Night
2510,GNK,Glitch No Kill 
2511,GNO,Girls
2512,GNP,Gross National Product
2513,GNR,Guns 'N Roses
2514,GNSD,Good Night Sweet Dreams
2515,GNSTDLTBBB,Good Night Sleep Tight Don't Let the Bed Bugs Bite
2516,GNU,GNU's Not Unix
2517,GOAT,Greatest Of All Time
2518,GOB,Mouth
2519,GOBLIN,Gangster
2520,GOD SPEED,Good luck
2521,GOG,Person from north Wales
2522,GOI,Get Over It
2523,GOK,God Only Knows
2524,GOKIL,Crazy 
2525,GOL,Giggle Out Loud
2526,GOLD DIGGER,Person who loves someone just for their money
2527,GOM,Idiot
2528,GOMB,Get Off My Back
2529,GOMD,Guy
2530,GOMEN,Sorry
2531,GOMER,Get Out of My Emergency Room
2532,GOMF,Get Outta My Face
2533,GOML,Get On My Level
2534,GON,Go on
2535,GONNA,Going to
2536,GOOG,Ecstasy pill
2537,GOOGLE,An Internet Search Engine
2538,GOOH,Get Out Of Here
2539,GOOK,Offensive term for a Korean
2540,GOOMF,Get Out Of My Face
2541,GOOML,Get Out Of My Life
2542,GOON,Stupid
2543,GOONER,Supporter of Arsenal Football Club
2544,GOP,Grand Old Party
2545,GORG,Gorgeous
2546,GORM,Gormless person
2547,GOS,Girlfriend Over Shoulder
2548,GOSH,Exclamation of suprise or shock
2549,GOSU,Skillful person 
2550,GOTCHA,I got you
2551,GOTTA,Got to ...
2552,GOTY,Game Of The Year
2553,GOU,Good On You
2554,GOW,God of War 
2555,GOWM,Go Out With Me
2556,GOY,Non-Jewish person
2557,GP,General Principle
2558,GPA,Grade-Point Average
2559,GPC,Generic Pack of Cigarettes
2560,GPL,General Public License
2561,GPOY,Gratuitous Picture Of Yourself
2562,GPOYW,Gratuitous Picture Of Yourself Wednesday
2563,GPRS,General Packet Radio Services
2564,GPS,Global Positioning System
2565,GPU,Graphics Processing Unit
2566,GQ,Gentlemen Quarterly
2567,GR,Gotta Run
2568,GR&D,Grinning Running & Ducking
2569,GR8,Great
2570,GR9,Better than GR8
2571,GRAF,Graffiti
2572,GRATZ,Congratulations
2573,GRE,Graduate Record Examination
2574,GRENADE,Ugly girl in a group
2575,GRL,Girl
2576,GRO,Guest Relations Officer
2577,GRODY,Disgusting
2578,GROK,Fully understand
2579,GROM,Grommet
2580,GRONK,Idiot
2581,GROOL,Great and Cool
2582,GROOVY,Cool
2583,GROSS,Unpleasant
2584,GROUSE,Great
2585,GRR,Anger
2586,GRRL,Girl
2587,GRRR,Anger
2588,GRUB,Food
2589,GRULE,Hard work
2590,GRX,Gracias
2591,GSD,Getting Stuff Done
2592,GSH,GSOH
2593,GSM,Global System for Mobile communications
2594,GSOH,Good Sense Of Humor
2595,GSR,Gun Shot Residue
2596,GSTQ,God Save The Queen
2597,GSW,Gun Shot Wound
2598,GT,Grand Touring
2599,GTA,Grand Theft Auto
2600,GTA5,Grand Theft Auto 5
2601,GTB,Go To Bed
2602,GTBB,Good To Be Back
2603,GTBOSH,Glad To Be Of Some Help
2604,GTD,Getting Things Done
2605,GTG,Got To Go
2606,GTGG,Got To Get Going
2607,GTH,Go To Hell
2608,GTHBA,Good Times Had By All
2609,GTHO,Get The Hell Out
2610,GTI,High performance hatchback
2611,GTK,Good To Know
2612,GTL,Gym Tan Laundry
2613,GTLD,Generic TLD
2614,GTM,Giggling To Myself
2615,GTO,Gran Turismo Omologato
2616,GTOG,Got To Go
2617,GTR,Getting Ready
2618,GTRM,Going To Read Mail
2619,GTS,Good Times
2620,GTSY,Good To See You
2621,GTTS,Got The T-Shirt
2622,GTW,Got To Work
2623,GTZ,Good Times
2624,GU,Grow Up
2625,GUAP,Money
2626,GUCCI,Good
2627,GUD,Good
2628,GUFN,Grounded Until Further Notice
2629,GUH,Annoyed
2630,GUI,Graphical User Interface
2631,GULLY,Rough
2632,GURL,Girl
2633,GUTI,Get Used To It
2634,GUTS,Courage
2635,GUUD,Good
2636,GUV,Guvnor
2637,GV,Good Vibes
2638,GVG,Guild Versus Guild
2639,GW,Good Work
2640,GWAAN,Go on
2641,GWAP,Money
2642,GWARN,Go On
2643,GWAS,Game Was A Success
2644,GWB,George W. Bush
2645,GWC,Guy With Camera
2646,GWG,Girl With Glasses
2647,GWI,Get With It
2648,GWK,Game Winning Kill
2649,GWOP,Money
2650,GWP,Gift With Purchase
2651,GWR,Guinness World Records
2652,GWS,Get Well Soon
2653,GWTF,Go With The Flow
2654,GWTP,Get With The Program
2655,GYAL,Girl
2656,GYALDEM,Group of girls
2657,GYC,Get Your Coat
2658,GYFS,Get Your Facts Straight
2659,GYNO,Gynecologist
2660,GYO,Get Your Own
2661,GYP,Swindle
2662,GYPO,Gypsy
2663,GYT,Get Yourself Tested
2664,GZ,Congratulations
2665,H,Hug
2666,H&K,Hugs and Kisses
2667,H/O,Hold On
2668,H/T,Hat Tip
2669,H/U,Hook Up
2670,H1B,US employment visa
2671,H1N1,Swine flu virus
2672,H2CUS,Hope To See You Soon
2673,H2G,Had to Go
2674,H2H,Heart To Heart
2675,H2IK,Hell If I Know
2676,H2O,Water
2677,H2T,Head To Toe
2678,H3,Halo 3 
2679,H4X,Hacks
2680,H4X0R,Hacker
2681,H5,High Five
2682,H8,Hate
2683,H8R,Hater
2684,H9,Really hate
2685,HA,Sarcastic laugh
2686,HABBO,Online community
2687,HABIBI,My darling
2688,HAC,Hot Asian Chick
2689,HACER,Hacker
2690,HACK,Break into computer systems or software
2691,HAFL,Heart Attack From Laughing
2692,HAFTA,Have To
2693,HAG,Unattractive old woman
2694,HAGD,Have A Good Day
2695,HAGE,Have A Good Evening
2696,HAGL,Have A Good Life
2697,HAGN,Have A Good Night
2698,HAGO,Have A Good One
2699,HAGS,Have A Great Summer
2700,HAGT,Have A Great Time
2701,HAI,Hey hi
2702,HAISTK,How Am I Supposed To Know
2703,HAIZ,Sigh
2704,HAK,Hugs And Kisses
2705,HALP,Help
2706,HAN,Alone
2707,HAND,Have A Nice Day
2708,HANDLE,Nickname
2709,HANG,Hang out
2710,HANG UP,Inhibition
2711,HANL,Have A Nice Life
2712,HAPA,Mixed race
2713,HAR,Sarcastic laugh
2714,HARD LINES,Bad luck
2715,HARF,Vomit
2716,HASH,Marijuana
